States /UTs /Boards ,Average Score ,Standard Error 
Goa ,244,1.8
Gujarat ,246,0.6
Haryana ,244,1.1
Himachal Pradesh ,235,1.6
Jammu and Kashmir ,235,2.7
Jharkhand ,248,0.5
Karnataka ,263,0.3
Kerala ,251,1.1
Lakshdweep ,241,12.5
Madhya Pradesh ,240,0.3
Maharashtra ,254,2.4
Manipur ,238,1.6
Meghalaya ,232,1.0
Mizoram ,245,1.3
Nagaland ,241,1.1
Odisha ,269,0.4
Puducherry ,242,2.3
Punjab ,248,0.5
Rajasthan ,265,1.0
Sikkim ,226,4.4
Tamil Nadu ,240,1.0
Telangana ,253,1.3
Tripura ,236,3.6
Uttarakhand ,247,1.8
CBSE ,294,3.0
ICSE ,294,2.9
National ,254,0.4
